,Number,Latitude,Longitude,Address
23,24,50.12296,8.74257,"H2 MOBILITY Wasserstoff Station
DKV-Nr: 3493021
Hanauer Landstr. 334
DE-60314 Frankfurt a. M."
24,25,50.119698,8.744082,"ROTH Station
DKV-Nr: 3498038
Dieselstr. 25
DE-60314 Frankfurt am Main"
25,26,50.120176,8.744323,"TP24Automat
DKV-Nr: 0081401
Dieselstr. 25
DE-60314 Frankfurt am Main"
26,27,50.128949,8.624166,"ARAL Station
DKV-Nr: 0070601
Am Industriehof 11
DE-60487 Frankfurt am Main
Tel.: 069 776451"
27,28,50.114507,8.617154,"ESSO Station
Wiesbadener Straße Süd
DKV-Nr: 0003894
A 648
DE-60486 Frankfurt am Main
Tel.: 069 776366"
28,29,50.151601,8.662195,"ARAL Station
DKV-Nr: 3475611
Eschersheimer Landstr. 523
DE-60431 Frankfurt am Main
Tel.: 069 525947"
29,30,50.151888,8.662698,"OIL! Station
DKV-Nr: 0074054
Eschersheimer Landstr. 458
DE-60433 Frankfurt am Main
Tel.: 069 520234"
30,31,50.12151,8.749044,"ARAL Station
DKV-Nr: 3475166
Carl-Benz-Str. 10
DE-60386 Frankfurt am Main
Tel.: 069 6809040"
31,32,50.115649,8.612444,"ESSO Station
Wiesbadener Straße Nord
DKV-Nr: 0003218
A 648
DE-60486 Frankfurt am Main
Tel.: 069 78703758"
32,33,50.078116,8.63395,"ARAL Station
DKV-Nr: 0010407
Lyoner Str. 70
DE-60528 Frankfurt am Main
Tel.: 069 6661885"
33,34,50.131863,8.61984,"ESSO Station
DKV-Nr: 0003010
Ludwig-Landmann-Str. 339
DE-60488 Frankfurt am Main
Tel.: 069 786077"
34,35,50.084182,8.62449,"T Station
DKV-Nr: 0021085
Goldsteinstr. 221
DE-60528 Frankfurt am Main
Tel.: 069 6661285"
35,36,50.094369,8.752793,"ESSO Station
DKV-Nr: 0003105
Sprendlinger Landstr. 43
DE-63069 Offenbach am Main
Tel.: 069 83837332"
36,37,50.085183,8.745992,"OIL! Station
DKV-Nr: 0074025
Sprendlinger Landstr. 173
DE-63069 Offenbach am Main
Tel.: 069 83837077"
37,38,50.138488,8.744237,"JET Station
DKV-Nr: 0018180
Borsigallee 29
DE-60388 Frankfurt am Main
Tel.: 069 40143723"
38,39,50.100002,8.607429,"FREIE Station
DKV-Nr: 3498506
Mainzer Landstr. 529
DE-65933 Frankfurt"
39,40,50.139072,8.745471,"ROTH Station
DKV-Nr: 3498031
Borsigallee 31
DE-60388 Frankfurt am Main"
40,41,50.139076,8.745477,"TP24Automat
DKV-Nr: 0081402
Borsigallee 31
DE-60388 Frankfurt am Main"
41,42,50.099998,8.604811,"ARAL Station
DKV-Nr: 0070423
Mainzer Landstr. 545
DE-65933 Frankfurt am Main
Tel.: 069 394954"
42,43,50.05803,8.69538,"OMV Station
DKV-Nr: 0071519
Frankfurter Str. 6
DE-63263 Neu-Isenburg
Tel.: 0610239036"
43,44,50.0889928,8.7595796,"JET Station
DKV-Nr: 3418412
Odenwaldring 84
DE-63069 Offenbach am Main
Tel.: 069 83005883"
44,45,50.141328,8.6098,"ARAL Station
DKV-Nr: 0010868
Ludwig-Landmann-Str. 88
DE-60488 Frankfurt am Main
Tel.: 069 764309"
45,46,50.144319,8.752971,"FREIE Station
DKV-Nr: 0045205
Vilbeler Landstr. 96
DE-60388 Frankfurt am Main
Tel.: 06109 32340"
46,47,50.122907,8.596002,"CALPAM Station
DKV-Nr: 0047024
Westerbacher Str. 60
DE-60489 Frankfurt am Main
Tel.: 069 788400"
47,48,50.087503,8.763603,"PROFI GETRÄNKEMARKT Station
DKV-Nr: 3499535
Senefelderstr. 170
DE-63069 Offenbach am Main"
48,49,50.146973,8.612171,"TotalEnergies Station
DKV-Nr: 0051005
Heerstr. 78
DE-60488 Frankfurt am Main
Tel.: 069 762965"
49,50,50.134722,8.599444,"METRO C&C Station
DKV-Nr: 0018272
Gürickestr 8
DE-60488 Frankfurt am Main
Tel.: 069 394807"
50,51,50.165058,8.724285,"TotalEnergies Station
DKV-Nr: 0051182
Alte Frankfurter Str. 92
DE-61118 Bad Vilbel
Tel.: 06101 85770"
51,52,50.156099,8.746051,"HEM Station
DKV-Nr: 0058325
Vilbeler Landstr. 237 - 239
DE-60388 Frankfurt am Main
Tel.: 06109 248473"
52,53,50.157412,8.744549,"AGIP Station
DKV-Nr: 0006328
Vilbeler Landstr. 248
DE-60388 Frankfurt am Main
Tel.: 06109 27602762"
53,54,50.086711,8.770276,"ARAL Station
DKV-Nr: 0010880
Waldstr. 215
DE-63071 Offenbach am Main
Tel.: 069 83071423"
54,55,50.047949,8.697503,"ARAL Station
DKV-Nr: 3470058
Friedhofstr. 11
DE-63263 Neu-Isenburg
Tel.: 06102 39307"
55,56,50.06022,8.743766,"ESSO Station
DKV-Nr: 0003938
Am Forsthaus Gravenbruch 1
DE-63263 Neu-Isenburg
Tel.: 06102 52137"
56,57,50.084291,8.77364,"CALPAM Station
DKV-Nr: 0047025
Waldstr. 268
DE-63071 Offenbach am Main
Tel.: 069 9854320"
57,58,50.08278,8.77511,"OMV Station
DKV-Nr: 0071547
Waldstr. 255
DE-63071 Offenbach am Main
Tel.: 06983071274"
58,59,50.083554,8.588408,"ESSO Station
DKV-Nr: 0003383
Rheinlandstr. 45
DE-60529 Frankfurt am Main
Tel.: 069 355618"
59,60,50.105607,8.785994,"HESSOL Station
DKV-Nr: 3470065
Mühlheimer Str. 113
DE-63075 Offenbach am Main
Tel.: 069 86781191"
60,61,50.099813,8.784894,"ESSO Station
DKV-Nr: 0003236
Bieberer Str. 172
DE-63071 Offenbach
Tel.: 069 853170"
61,62,50.123787,8.579357,"SHELL Station
DKV-Nr: 0004450
Westerbachstr. 204
DE-65936 Frankfurt am Main
Tel.: 069 341298"
62,63,50.0991692,8.7857084,"ARAL Station
DKV-Nr: 0010673
Bieberer Str. 157
DE-63071 Offenbach am Main
Tel.: 069 85703117"
63,64,50.15547,8.601303,"SHELL Station
Taunusblick
DKV-Nr: 0004225
A 5
DE-65760 Eschborn
Tel.: 069 742299810"
64,65,50.122958,8.789776,"BFT Station
DKV-Nr: 0097997
Rumpenheimer Str. 79
DE-63075 Offenbach am Main
Tel.: 06986 781128"
65,66,50.096413,8.792303,"JET Station
DKV-Nr: 3418156
Bieberer Str. 255
DE-63071 Offenbach am Main
Tel.: 069 851455"
66,67,50.142885,8.579936,"GLOBUS Automatenstation
DKV-Nr: 0040135
Ginnheimer Str. 18
DE-65767 Eschborn"
67,68,50.18326,8.659621,"ARAL Station
DKV-Nr: 0010059
Oberer Kalbacher Weg 35
DE-60437 Frankfurt am Main
Tel.: 069 95059127"
68,69,50.034585,8.694745,"ARAL Station
DKV-Nr: 0010276
Kurt-Schumacher-Ring 182
DE-63303 Dreieich
Tel.: 06103 373437"
69,70,50.111786,8.802533,"SHELL Station
DKV-Nr: 3404611
Mühlheimer Str. 333
DE-63075 Offenbach am Main
Tel.: 069 869494"
70,71,50.091787,8.801068,"T Station
DKV-Nr: 0045507
Aschaffenburger Str. 96
DE-63073 Offenbach am Main
Tel.: 069 891179"
71,72,50.057686,8.587055,"ESSO Station
DKV-Nr: 0003884
Unterschweinstiege 2
DE-60549 Frankfurt am Main
Tel.: 069 693333"
72,73,50.037441,8.624648,"SHELL Station
DKV-Nr: 3404628
B 44
DE-63263 Neu-Isenburg
Tel.: 069 692955"
73,74,50.036942,8.625126,"AVIA Station
DKV-Nr: 0034032
An der B44
DE-63263 Neu-Isenburg
Tel.: 0661 83910"
74,75,50.110881,8.551896,"BFT Station
DKV-Nr: 3499567
Kurmainzer Str. 65
DE-65936 Frankfurt
Tel.: 069 307530"
75,76,50.180456,8.605365,"ARAL Station
DKV-Nr: 0070097
Frankfurter Landstr. 200
DE-61440 Oberursel
Tel.: 06171 73993"
76,77,50.196404,8.666915,"TotalEnergies Station
DKV-Nr: 0051331
An der Bornhohl 56
DE-60437 Frankfurt am Main
Tel.: 069 5071584"
77,78,50.058709,8.788912,"ARAL Station
DKV-Nr: 3470042
Isenburger Str. 20
DE-63150 Heusenstamm
Tel.: 06104 5123"
78,79,50.194636,8.648901,"TP24Automat
DKV-Nr: 3481008
Josef-Eicher-Str. 8
DE-60437 Frankfurt
Tel.: 00800 31761700"
79,80,50.194725,8.649019,"RHV Station
DKV-Nr: 0099931
Josef Eicher Str. 8
DE-60437 Frankfurt am Main
Tel.: 06659 96440"
80,81,50.194061,8.724318,"HESSOL Station
DKV-Nr: 3475615
Zeppelinstr. 9 - 11
DE-61118 Bad Vilbel"
81,82,50.171167,8.58286,"FREIE Station
DKV-Nr: 3498969
Industriestr. 2
DE-61449 Steinbach
Tel.: 06171 50770"
82,83,50.120296,8.817928,"JET Station
DKV-Nr: 3418442
Offenbacher Str. 109
DE-63165 Mühlheim
Tel.: 06108 795373"
83,84,50.146041,8.8074199,"SHELL Station
DKV-Nr: 0004400
Am Kreuzstein 75
DE-63477 Maintal
Tel.: 06109 63260"
84,85,50.190301,8.742403,"ARAL Station
DKV-Nr: 0070785
Friedberger Str. 89
DE-61118 Bad Vilbel
Tel.: 06101 307498"
85,86,50.147729,8.80794,"AGIP Station
DKV-Nr: 0006326
Am Kreuzstein 55
DE-63477 Maintal
Tel.: 06109 61637"
86,87,50.1196489,8.5438648,"ARAL Station
Frankfurt Nord
DKV-Nr: 0070842
A 66
DE-65929 Frankfurt am Main
Tel.: 069 30852981"
87,88,50.0584066,8.7944615,"AGIP Station
DKV-Nr: 0006339
Frankfurter Str. 110
DE-63150 Heusenstamm
Tel.: 06104 61820"
88,89,50.164688,8.570847,"ESSO Station
DKV-Nr: 0003013
Eschborner Str. 34
DE-61449 Steinbach
Tel.: 06171 72716"
