,Number,Latitude,Longitude,Address
47,48,51.763956,8.556307,"ESSO Station
DKV-Nr: 0003717
Rietberger Str. 16
DE-33129 Delbrück
Tel.: 05250 53421"
48,49,51.754868,8.548603,"TP24Automat
DKV-Nr: 0081303
Bösendamm 10
DE-33129 Delbrück"
49,50,51.6164536,8.9015835,"STAR Station
DKV-Nr: 0002125
Lange Str. 72
DE-33165 Lichtenau
Tel.: 05295 / 1090"
50,51,51.616498,8.905647,"RAIFFEISEN Station
DKV-Nr: 3499176
Torfbruchstr. 1
DE-33165 Lichtenau
Tel.: 02921 39971"
51,52,51.575729,8.715833,"SCHALLENKAMP Station
DKV-Nr: 0098391
Graf-Zeppelin-Str. 24
DE-33181 Bad Wünnenberg
Tel.: 02957 98440"
52,53,51.84118,8.611822,"AVIA Station
DKV-Nr: 0098286
Detmolder Str. 41
DE-33161 Hövelhof
Tel.: 05257 938368"
53,54,51.56746,8.716,"RAIFFEISEN Station
DKV-Nr: 3499178
Graf-Zeppelin-Str. 43
DE-33181 Bad Wünnenberg
Tel.: 02957 98300"
54,55,51.567147,8.715962,"TP24Automat
DKV-Nr: 0081305
Graf-Zeppelin-Str. 43
DE-33181 Bad Wünnenberg"
55,56,51.56344,8.72521,"SCHALLENKAMP Station
DKV-Nr: 0097998
Bürener Str. 9
DE-33181 Bad Wünnenberg
Tel.: 02957 98440"
56,57,51.71726,9.01649,"TP24Automat
DKV-Nr: 0081300
Groppendiek 5
DE-33014 Bad Driburg"
57,58,51.722183,9.017249,"Q1 Station
DKV-Nr: 0049039
Dringenberger Str. 83
DE-33014 Bad Driburg
Tel.: 05253 931279"
58,59,51.740998,9.01896,"HEM Station
DKV-Nr: 0058206
Pyrmonter Str. 48
DE-33014 Bad Driburg
Tel.: 05253 934893"
59,60,51.7048,8.4825628,"AVIA Station
DKV-Nr: 3499401
Lippestr. 30
DE-33154 Salzkotten
Tel.: 02948 1400"
60,61,51.631068,8.51289,"ARAL Station
DKV-Nr: 3475607
Bürener Str. 15
DE-59590 Geseke
Tel.: 02942 6061"
61,62,51.635856,8.505644,"ARAL Station
DKV-Nr: 0010088
Erwitterstr. 13
DE-59590 Geseke
Tel.: 02942 1371"
62,63,51.6360124,8.503016,"STAR Station
DKV-Nr: 0002345
Erwitter Str. 21
DE-59590 Geseke
Tel.: 02942/799157"
